Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
Cube Town Hybrid Sport PRO 500 Trapeze E-Bike (2018),"€2,294.00",Save 15%,"Frame: Aluminium Superlite, Trekking Premium Comfort, IC 2.0, Double Butted","Fork: SR Suntour NCX D LO Air, 50mm, Lockout",Bulk Tracked Courier Delivery:,Grey - Copper
Fuji Sportif 1.3 Disc Road Bike Black/Red 58cm Stock Bi,"€1,068.99",Save 29%,"Frame: A2-SL alloy tapered seatstays & chainstays with rack mount, flat mount disc & replaceable derailleur hanger","Fork: FC-440 carbon monocoque with tapered carbon steerer, 12mm thru-axle dropout with flat-mount disc system",Bulk Tracked Courier Delivery:, Satin Black/Red
Felt Decree 5 (2018) Full Suspension MTB Bike,"€2,548.99",Save 25%,"Frame: Felt Trail, 140mm travel, FAST suspension, UHC Advanced carbon fibre, MMC with InsideOut construction, full carbon dropouts, ControlTaper head tube, post disc mount, carbon fibre rocker links, 1X specific,12x148mm Syntace style thru axle","Fork: RockShox Recon Gold RL, 150mm travel , 15x110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Slater Blue/Ca
Cinelli Vigorelli Steel Bike  Black/Multi L Stock Bike,"€1,138.99",Save 15%,Frame: Columbus Thron Steel tubeset,"Fork: Columbus Futura Carbon Monocoque, 1-1/8 to 1-1/2 tapered steerer",Bulk Tracked Courier Delivery:,Electric Italo
Vitus Nucleus 275 V HT Bike,€383.99,Save 20%,Frame: Aluminium,"Forks: Suntour XCT HLO 27.5""",Bulk Tracked Courier Delivery:, Chrome - Black
Kiddimoto Super Junior Max Fossil Balance Bike,€110.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Multicoloured
Cinelli Experience Centaur Bike:Silver:XL:Stock Bike,"€1,253.99",Save 14%,Frame: Columbus Airplane Triple Butted Alloy,"Fork: Columbus carbon, Alloy 1 1/8"" to 1 1/2"" steerer",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Slamr 4.9 29"" Full Suspension Bike","€2,071.99",Save 28%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Titanium Grey/Iridiu
Vitus ZX1 Team Aero Disc Road Bike-Dura Race,"€3,999.99",Save 20%,Weight: 7.83kg,Aero optimised with Kammtail tube profiles,Bulk Tracked Courier Delivery:, Black - Red
Stolen Stereo BMX Bike,€277.99,Save 34%,Frame: Hand-welded 100% High-tensile Steel,"Fork: High-tensile Steel, tapered legs, one-piece steerer with compressor top cap, 32mm offset",Bulk Tracked Courier Delivery:,Redrum
Kiddimoto Super Junior Max Fleur Balance Bike,€110.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,MultiColor
GT Performer Lil (2019) Bike,€279.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel","Fork: GT FS Design, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Pitch Green
Vitus Energie VR Cyclocross Bike (Rival 1x11 -2019),"€1,343.99",No discount applied,Frame: Hydroformed 6061-T6 triple butted alloy,Forks: High-modulus T700 HM-UD Full Carbon,Bulk Tracked Courier Delivery:, Black/Plum
Fuji Gran Fondo Classico 1.1 Road Bike (2018),"€1,328.99",Save 30%,Frame: C5 carbon,Forks: FC-440 carbon w/ tapered carbon steerer & alloy dropout,Bulk Tracked Courier Delivery:, Satin Grey - Gloss B
Kona Esatto (2017) Road Bike,€709.00,Save 35%,Frame: Kona SuperLight 7046 Aluminum Butted,Forks: Kona Carbon Race,Bulk Tracked Courier Delivery:, Matt Black & Lime Gr
GT Sensor AL Sport (2019) Bike,"€1,899.00",No discount applied,Frame: Sensor Alloy with 130mm rear wheel travel,"Forks: RockShox Rekon RL Solo air, Travel: 130mm",Bulk Tracked Courier Delivery:, Gloss Slate Blue
Vitus Zenium SL VRX Disc Road Bike - Ultegra,"€1,549.99",Save 18%,Weight: 8.67kg,Superlight 6066 Triple butted SL frame,Bulk Tracked Courier Delivery:, Blue - Black
Cube Axial WS Pro Disc,€649.00,Save 27%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,White/Red
Kona Wheelhouse (2017) Road Bike,"€1,099.00",Save 42%,Frame: Reynolds 853 Butted CrMo,Fork: Kona Carbon road disc,Bulk Tracked Courier Delivery:,Gloss Blue
Octane One Melt Dirt Jump Bike,€628.99,Save 10%,"Frame: 6061 T6 Aluminium custom formed and butted tubes, tapered integrated headset","Fork: RST Dirt RA, 100mm travel, 10mm axle",Bulk Tracked Courier Delivery:,Gray/Black
"Ghost Lector 4.9 29"" Hardtail Bike","€2,017.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Neon Orange/Night Bl
Fuji Finest 2.1 Road Bike (2018),€664.99,Save 29%,Frame: A2-SL alloy,"Forks: FC-770 carbon integrated w/ 1 1/8"" alloy steerer",Bulk Tracked Courier Delivery:,Silver Ice
Fuji SL 2.3 Disc Road Bike (2018),"€1,948.99",Save 25%,"Frame: C10 high-modulus carbon, integrated head tube w/ 1 1/2"" lower, PF30 BB, double water bottle mounts, oversized ETC chainstays, flat-mount disc system, carbon dropout w/ 12mm convertible thru-axle system w/ replaceable hanger","Fork: FC-440 carbon monocoque w/ tapered carbon steerer, 12mm thru-axle dropout w/ flat-mount disc system",Bulk Tracked Courier Delivery:, Satin Storm Silver
Blank Cell BMX Bike (2019),€385.00,No discount applied,"Frame: Blank 1020 Hi-Tensile Steel with ""Park"" geometry","Forks: Blank Compound, 20"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
GT Mach One Junior (2019) Bike,€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1"" Integrated H/T","Forks: GT BMX Junior Race, Hi-Ten Steel 1"" Steerer, Oval 31.8 X 1.4mm Blades, 315mm A/C, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
"Cube Access WS EAZ 29"" Hardtail Bike (2018)",€382.80,Save 23%,"Frame: Aluminium Lite, AMF, Internal Cable Routing, Easy Mount Kickstand Ready","Fork: 	SR Suntour XCT Disc, 100mm",Bulk Tracked Courier Delivery:,Choice of colours
Fuji Nevada 29 1.3 Hardtail Bike,€637.99,Save 25%,Frame: Fuji A2-SL,"Fork: SR Suntour SF15-XCM-RL-DS-29 w/ remote lockout, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Substance Gravel Bike - Sora,€649.99,Save 23%,4130 CrMo frame & fork,"700c wheels, 38c tyres",Bulk Tracked Courier Delivery:, Green - Khaki
Vitus 14 Kids Bike,€212.99,No discount applied,Light weight 6061 alloy frame,Custom handlebars designed for tiny hands,Bulk Tracked Courier Delivery:,Choice of colours
Cube Cross Hybrid ONE 400 E-Bike,"€1,618.99",Save 10%,Commuter: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Black/Blue
Brand-X - Road Bike,€338.99,No discount applied,Brand-X Road Alloy 6061 Frame,Shimano 14 speed Tourney drivetrain,Bulk Tracked Courier Delivery:, Black
Cinelli Gazzetta  Bike,€726.99,Save 14%,Frame: Columbus CrMo Double Butted,Fork: Columbus CrMo 1 1/8,Bulk Tracked Courier Delivery:,Beyond Blue Eyes
GT Performer (2019) Bike,€339.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel Tubes, DT Gusset, seat stay mounted U-Brake, Integrated 1-1/8"" headtube, removable rotor tabs, Odyssey Springfield brake compatible","Fork: GT FS Design, Hi-Ten, tapered steerer, O.D. Blades, 31mm Offset, 3/8"" Axle Dropouts",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Escarpe 29 VRX FS Bike GX Eagle 1x12,"€2,332.99",Save 22%,"Frame: Hydroformed Triple Butted 6061-T6 Aluminium with patented four-bar V-Link rear suspension, 140mm travel","Forks: RockShox Lyrik RCT3, 150mm travel",Bulk Tracked Courier Delivery:,Black - Blue
"Ghost Lanao 2.7 27.5""Ladies Full Suspension Bike","€1,089.99",Save 31%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Berry Pink/Night Bla
"GT Mach One 20"" (2019) Bike",€339.00,No discount applied,"Frame: GT Mach One Race, 6061-T6 AL, Euro BB, Reverse Dropouts, 1"" Integrated H/T","Forks: GT BMX Junior Race, Hi-Ten Steel 1"" Steerer, Oval 31.8 X 1.4mm Blades, 315mm A/C, 3/8"" Dropouts",Bulk Tracked Courier Delivery:,Electric Blue
Fuji Nevada 29 1.5 Hardtail Bike,€530.99 - €531.99,No discount applied,Frame: Fuji A2-SL,"Fork: SR Suntour SF15-XCM-HLO-DS-29 w/ hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
Cube Aim Race 27.5 Hardtail Mountain Bike,€439.00 - €449.00,No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Kato  3.7 27.5"" Full Suspension Bike","€1,374.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Star White/Night Bla
Diamondback Heist 3.0 27+ Boost Hardtail Bike,"€1,020.99",Save 10%,"Frame: Alloy Butted Hydroformed Tubing, BOOST spacing, Tapered Headtube, Forged 148x12mm Dropouts",Fork: Rockshox Recon Silver Soloair 120mm BOOST forks,Bulk Tracked Courier Delivery:, Gray
Cube Stereo 140 HPC Race 27.5 Suspension Bike,"€2,248.99",Save 20%,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Blue/Gray
GT Grade AL Expert (2019) Bike,"€1,199.00",No discount applied,"Frame: Grade alloy frame, hydroformed top tube and downtube",Fork: Grade Carbon disc,Bulk Tracked Courier Delivery:, Satin Blue & Black
Chappelli Cyclo-Cross Bike (2017),€779.99,Save 34%,Frame: CrMo frame,Fork: Carbon Fibre,Bulk Tracked Courier Delivery:,Raw Steel/Black
Cube Elite C:62 27.5 Race Hardtail Bike,"€2,999.00",Save 22%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Blackline
Blank Icon BMX Bike (2017),€221.99,Save 44%,Number of gears: 1,"Wheel Size: 20"" (406)",Bulk Tracked Courier Delivery:,Gloss Blue
Cube Aim SL 27.5 Hardtail Mountain Bike,€454.80,Save 27%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
Felt Decree 4 (2018) Full Suspension MTB Bike,"€2,889.99",Save 24%,"Frame: Felt Trail, 140mm travel, FAST suspension, UHC Advanced carbon fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, post disc mount, replaceable hanger, threaded BB, carbon rocker links, 12x148mm Syntace style thru axle","Fork: RockShox Recon Gold RL, 150mm travel , 15x110mm Boost thru axle",Bulk Tracked Courier Delivery:, Matte Black/Lime Gre
GT Grade Carbon Pro Adventure Road Bike,"€2,667.99",Save 20%,"Frame: GT EnduRoad carbon frame and fork, disc specific triple triangle with Tapered head tube, full carbon fork, PFBB30 bottom bracket, removable fender bridge","Fork: GT Carbon with tapered 1 1/8 to 1 1/4 threadless Carbon steerer, disc specific, 15mm thru axle",Bulk Tracked Courier Delivery:, Carbon
Stolen Heist BMX Bike,€476.60,No discount applied,"Frame: CrMo main tubes, S-Bend chainstays for bigger tyres","Fork: 100% 4130 CrMo, tapered legs, one-piece steerer, compressor topcap, 28mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Cube Stereo 120 Pro 29 Suspension Bike,"€1,798.99",Save 16%,MTB: Yes,No Feature 2,Bulk Tracked Courier Delivery:,Grey/FlashYellow
Kiddimoto Super Junior Max Union Jack Balance Bike,€111.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,"Red, White & Blue"
Kona Mohala Women's (2018) Mountain Bike,€899.00,Save 30%,Frame: Kona Race Light butted Alloy,Forks: RockShox 30 Gold RL Solo Air,Bulk Tracked Courier Delivery:, Gloss Dark & Light G
"Ghost Slamr 6.7 27.5"" Full Suspension Bike","€3,595.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Smoke Grey/Neon Red/
"GT Performer Pro 26"" (2019) Bike",€679.00,No discount applied,"Frame: GT 86' Pro Performer Design, 100% CrMo","Fork: GT FS Design, 86' Performer Design, 100% CrMo",Bulk Tracked Courier Delivery:,Choice of colours
Legion L60 BMX Bike,€267.99,Save 27%,"Frame: Hi-tensile steel, TT:20.5""","Fork: Hi-Ten steel; 1 1/8"" threadless steerer; tapered legs",Bulk Tracked Courier Delivery:,Red
Kona Hei Hei AL/DL (2018) Mountain Bike,"€2,449.00",Save 30%,"Frame: 6061 Aluminum, Butted","Forks: RockShox Reba RL Solo Air, 120mm",Bulk Tracked Courier Delivery:,Green
GT Avalanche Elite 29 Hardtail Mountain Bike,€635.99,Save 14%,"Frame: All New 6061 T6 Aluminum Frame, w/ Triple Triangle?, Replaceable Derailleur Hanger, Disc Brake Mounts, and Zerostack tapered 1 1/8-1 1/2Head Tube, 27.5/29 Design","Fork: SR Suntour XCR 32 Air RLR DS w/ 100mm Travel, Magnesium Lowers, 32mm Cr-mo Steel Uppers, w/ Post Mount Disc Brake, W/ Remote lockout W/Rebound and Preload Adjust, For 27.5 or 29",Bulk Tracked Courier Delivery:,Navy
Vitus E-Sentier VR Hardtail E-Bike - SLX 1x11,"€2,696.99",Save 20%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: None,Bulk Tracked Courier Delivery:,Black - Red
Cube Kid 240 Mountain Bike,€299.00,Save 25%,No Feature 1,No Feature 2,No delivery information,Berry/Pink
GT Zaskar Carbon Expert Hardtail Mountain Bike,"€2,079.00",Save 17%,"Frame: F.O.C.? Carbon Frame, Triple Triangle? Frame Construction, F.O.C. BB92 Shell, 12x148mm Thru Axle Dropouts, and 1 1/8"" to 1 1/2"" Tapered Head Tube, w/ 29 Specific Geometry, Boost 148 rear spacing, D12 Internal routing","Fork: Fox Performance 32 StepCast with Grip Damper, Float EVOL Air Spring, 100mm Travel, 15x110mm QR Axle, w/ Rebound Adjust, 51mm offset, Tapered Alloy Steerer",Bulk Tracked Courier Delivery:,Carbon
"DK Swift Expert 20"" Bike",€280.99,Save 40%,Frame: 6061 aluminium frame with welded-on brake mounts,"Fork: Hi-tensile Steel with tapered legs, 1 1/8"" steerer",Bulk Tracked Courier Delivery:,Red
Fuji Roubaix 1.1 Disc Road Bike (2018),"€1,498.99",Save 25%,"Frame: A6-SL super-butted 6066 aluminum, integrated 1 1/2"" lower head tube, PF30 shell, double water bottle mounts, oversized ETC chainstays, forged dropouts w/ flat-mount disc system, 12mm convertible thru-axle system w/ replaceable hanger","Fork: FC-440 carbon monocoque w/ tapered carbon steerer, 12mm thru-axle dropout w/ flat-mount disc system",Bulk Tracked Courier Delivery:, Cyan
Cube Nature PRO All Road Touring Bike (2018),€594.00,Save 15%,Frame:	Aluminium Superlite Trekking Cross Double Butted,"Forks: 	SR Suntour NEX HLO, 63mm",Bulk Tracked Courier Delivery:,Grey - White
TERRA C 105 Racing (2019) Bike,"€2,099.99",No discount applied,Frame: Orro Terra C Carbon Frame with Innegra Impact Protection,Fork: Orro Terra C Full Carbon with Innegra Impact Protection,Bulk Tracked Courier Delivery:, Stealth
Fuji Roubaix 1.3 Road Bike,€992.99,Save 29%,"Frame: A6-SL super-butted 6066 aluminum, integrated 1 1/2"" lower head tube, PF30 shell, double bottle mounts, oversized ETC chainstays, forged-road dropout with replaceable derailleur hanger","Fork: FC-440 carbon with tapered carbon steerer, alloy dropouts",Bulk Tracked Courier Delivery:,Black/Red
Fuji SL 2.1 Disc Road Bike (2018),"€2,473.99",Save 25%,"Frame: C10 high-modulus carbon, integrated head tube w/ 1 1/2"" lower, PF30 BB, double water bottle mounts, oversized ETC chainstays, flat-mount disc system, carbon dropout w/ 12mm convertible thru-axle system w/ replaceable hanger","Fork: FC-440 carbon monocoque w/ tapered carbon steerer, 12mm thru-axle dropout w/ flat-mount disc system",Bulk Tracked Courier Delivery:, Satin Sky Blue
Fuji Sportif 1.9 Disc Road Bike,€647.99,Save 30%,"Frame: A2-SL alloy tapered seatstays & chainstays with rack mount, flat mount disc & replaceable derailleur hanger","Fork: FC-440 full-carbon monocoque, quick-release axle with flat-mount disc tabs, tapered steerer",Bulk Tracked Courier Delivery:,Red
Cinelli Saetta  Centaur Bike,"€1,593.99",Save 14%,Frame: Columbus Carbon Fibre Monocoque,"Fork: Columbus Carbon Fibre, 1/18 to 1/14 alloy steerer",Bulk Tracked Courier Delivery:,Black Italo
Blank Hustla BMX Bike (2019),€330.00,No discount applied,Frame: Blank 1020 Hi-Tensile Steel,"Forks: Blank Compound, 18"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Kona Hei Hei AL (2018) Mountain Bike,"€2,099.00",Save 25%,"Frame: Kona Race Light 6061 AluminIum Butted, 100mm Travel","Fork: RockShox Recon Gold RL Solo Air Tapered, Travel: 120mm, 110mm Spacing",Bulk Tracked Courier Delivery:,Gray
Cube Analog 27.5 Hardtail Mountain Bike,€628.99,Save 14%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Gray/Red
Stolen Stereo BMX Bike,€431.20,No discount applied,"Frame: Hand Welded 100% HiTen Steel, S-Bend chainstays for bigger tyres","Fork: 100% HiTen Steel, one-piece steerer, compressor topcap, 32mm offset",Bulk Tracked Courier Delivery:,Choice of colours
GT LaBomba (2019) Bike,"€1,099.00",No discount applied,"Frame: GT Dirt Jump 6061 Alloy, horizontal dropouts with built-in chain tensioners",Forks: Manitou Circus Expert with 20mm bolt-thru axle,Bulk Tracked Courier Delivery:,Purple
Stolen Sinner FC XLT BMX Bike,€794.20,No discount applied,"Frame: 100% 4130 CrMo w/ ""S-Bend"" chainstays & Removable Brake Mounts, Drilled for Gyro Tabs (Tabs not Included)",Fork: 100% 4130 CrMo & One-Piece Steerer w/ Vortex2 Topcap,Bulk Tracked Courier Delivery:,Black/Raw Fade
Cube Hyde Urban Bike (2018),€599.00,Save 14%,Frame: Aluminium Superlite Urban 29 Double Butted,"Forks: Aluminium Rigid Fork 29"" Taper",Bulk Tracked Courier Delivery:, Black - Yellow
Ghost Violent Roadrage 5.8 City Bike,"€1,868.99",Save 30%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:, Night Black/Ultravio
Vitus Venon CRi Disc Road Bike - Ultegra Di2,"€2,682.99",Save 23%,Weight: 8.4kg,"Frame: Carbon T700-HM UD, 142x12mm TA,",Bulk Tracked Courier Delivery:,Silver - Blue
Fuji Finest 2.3 Road Bike,€534.99,Save 29%,Frame: A2-SL Alloy,Fork: FC-770 Carbon,Bulk Tracked Courier Delivery:,Choice of colours
wethepeople Arcade BMX Bike,€418.99,Save 27%,"Frame: 1020 hi-tensile Steel/4130 CrMo downtube, TT: 20.5""; CS: 13.2""; BB: 11.75"" SO: 8.5""; HA: 75 degrees; SA: 71 degrees","Fork: Salt AM 20 fork, 1020 hi-tensile steel, 4130 CrMo steerer, 28mm offset",Bulk Tracked Courier Delivery:,Trans Blue
Fuji Cross 2.1 Cyclo-Cross Bike (2018),€719.98,Save 44%,Frame: A6-SL super-butted 6066 aluminum w/ shaped top tube,"Forks: Alloy blade cross fork, alloy crown w/ tapered alloy steerer & alloy dropouts",Bulk Tracked Courier Delivery:, Blue
Vitus Mach 3 Urban Bike - Metrea,€899.99,Save 18%,Versatile flat bar road bike,Shimano Metrea groupset,Bulk Tracked Courier Delivery:, Black - Silver
GT Force Carbon Expert (2019) Bike,"€3,999.00",No discount applied,Frame: Carbon,"Forks: RockShox Pike RC, 160mm, Charger Damper, DebonAir, 15x110mm, tapered steerer, 46mm offset",Bulk Tracked Courier Delivery:, Satin Raw
Fuji Nevada 29 1.9 Hardtail Bike,€367.99,Save 25%,"Steerer: 1 1/8"" Ahead",Bottle Cage Mounts: Double,Bulk Tracked Courier Delivery:,Choice of colours
Cube Attention SL 29 Hardtail Mountain Bike,€808.99,Save 14%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Aqua/Blue
Fuji Nevada 26 1.9 V Bike (2018),€321.99,Save 24%,Frame: Fuji A2-SL custom-butted alloy,Forks: CH-565 26 w/ 100mm travel,Bulk Tracked Courier Delivery:, Satin Black
Fuji Nevada 27.5 1.1 Hardtail Bike (2018),€748.99,Save 25%,"Frame: Fuji A2-SL custom-butted alloy front triangle w/ PowerCurve down tube, Fuji A1-SL alloy rear triangle, post disc mount, cold-forged dropout and replaceable hanger","Fork: RockShox XC30 TK 27.5, 100mm travel",Bulk Tracked Courier Delivery:, Satin Red
Ghost Hybrid Lector SX5.7+ LC Bike,"€4,824.99",No discount applied,Frame: Lector LC (lightweight carbon),Fork: Ghost LC (lightweight carbon) rigid forks,Bulk Tracked Courier Delivery:, Night Black/Neon Yel
Vitus 24 Kids Bike,€268.99,No discount applied,Light weight 6061 alloy frame,Tektro V Brakes,Bulk Tracked Courier Delivery:,Choice of colours
"Blank Buddy 16"" BMX Bike",€196.99,Save 43%,Frame: Blank 1020 Hi-Tensile Steel,"Fork: Blank Compound, 16"", tapered",Bulk Tracked Courier Delivery:,Vivid Matt Purple
Stolen Casino BMX Bike,€374.40,No discount applied,"Frame: Hand Welded HiTen Steel, Mid BB Shell","Fork: Stolen HiTen Steel, tapered legs & one-piece steerer, compressor topcap, 32mm offset",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Kato 1.6 26"" Hardtail Bike",€433.99,Save 23%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Neon Gree/Night Blac
Kiddimoto BMX Balance Bike,€129.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Choice of colours
Cube Nature SL Touring Bike (2018),€669.00,Save 16%,Frame: Aluminium Superlite Trekking Cross Double Butted,"Forks: SR Suntour NEX HLO, 63mm",Bulk Tracked Courier Delivery:,Choice of colours
Ruption IMP BMX Bike (2019),€205.00,No discount applied,"Frame: Ruption 1020 Hi Ten 11.9"" Top Tube","Forks: Ruption 12"" Hi Ten Forks",Bulk Tracked Courier Delivery:,Choice of colours
"Ghost Hybrid Teru B5.7+ 27.5""+ E-Bike","€2,399.98",Save 34%,Frame: Hybride TERU AL Aluminium,"Fork: SR Suntour Raidon 34 LOR DS AIR, Travel: 120mm",Bulk Tracked Courier Delivery:, Night Black/Neon Ora
GT Aggressor Sport 27.5 Hardtail Mountain Bike,€341.99,Save 15%,"Frame: 6061-T6 Aluminium Triple Triangle Frame, replaceable hanger, 1 1/8 headtube, 27.5 design","Fork: All Terra CH-565, 26mm stanchions, alloy lower legs, 80mm travel for 27.5, disc brake specific",Bulk Tracked Courier Delivery:,Gunmetal
Vitus Sommet CRS Carbon FS Bike GX Eagle 1x12,"€2,946.99",Save 13%,"Frame: T700/T800 Toray Carbon Fibre front triangle with 6061-T6 Aluminium rear triangle with patented four-bar V-Link rear suspension, 160mm travel","Forks: RockShox Lyrik RC, 170mm travel",Bulk Tracked Courier Delivery:, Carbon - Red
Rondo HVRT AL - Road Bike (2018),"€1,774.99",No discount applied,Frame: Rondo HVRT Custom formed alloy,Fork: Rondo HVRT Twintip Carbon 1.5 - 1.125,Bulk Tracked Courier Delivery:, Blue/Gray
