Product,Price,Discount,Feature 1,Feature 2,Delivery method,Colour
Cube Cube Touring Hybrid EXC 500,"€2,699.00",No discount applied,"Frame: Aluminium Superlite, Trekking Premium Sport, IC 2.0, Double Butted, Disc Only","Fork: SR Suntour NCX D LO Air, 63mm, Lockout",Bulk Tracked Courier Delivery:,Black/Gray
Blank Diablo BMX Bike (2019),€530.00,No discount applied,"Frame: Blank full 4130 CrMo, removable brake hardware, ""Grizzly"" geometry","Forks: Blank Generation 3, full 4130 CrMo, 20""",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Substance Gravel Bike - Tiagra,€719.99,Save 24%,4130 CrMo frame & fork,"700c wheels, 38c tyres",Bulk Tracked Courier Delivery:, Blue - Orange
Kiddimoto Fossil Kurve Balance Bike,€87.99,Save 10%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Mulitcoloured
Vitus Razor Road Bike,€439.99,Save 22%,Weight: 10.3kg,Frame: AL6061 Alloy,Bulk Tracked Courier Delivery:, Black - Blue
Felt Doctrine 6 (2018) XC Carbon Hardtail Bike,"€1,491.73",Save 12%,"Frame: Felt XC, UHC Performance carbon fibre, MMC with InsideOut construction, carbon dropouts, ControlTaper head tube, Kevlar chain watcher, replaceable hanger, flat mount disc mounts, BB92, 12x148mm Syntace style thru axle","Fork: RockShox 30 Silver Solo Air, 100mm travel",Bulk Tracked Courier Delivery:, Chartreuse/Blue/Carb
Kona Explosif (2018) Mountain Bike,"€1,999.00",Save 33%,Frame: Reynolds 520 Butted CrMo,"Forks: RockShox Revelation RC Solo Air, Travel:  120mm",Bulk Tracked Courier Delivery:, Gloss Green
Kona Jake The Snake (2018) Cyclocross  Bike Yellow 52cm,"€1,199.98",Save 39%,"Frame: 6061 Aluminum, Butted",Forks: Kona Carbon,Bulk Tracked Courier Delivery:, Yellow
Octane One Gridd MTB Gravel Bike,"€1,168.99",Save 16%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:, Blue/Black
Vitus Vee 29 City Bike,€209.98,Save 30%,Frame: Al6061 alloy,Fork: Alloy Hi-Ten,Bulk Tracked Courier Delivery:, Blue Tint
"Diamondback Heist 2.0 27.5"" Hardtail Bike",€867.99,Save 9%,"Frame: Alloy Butted Hydrofomed Tubing, Integrated Headset, Forged Dropouts",Fork: Rockshox Recon Silver Soloair 120mm forks,Bulk Tracked Courier Delivery:, Yellow
"Diamondback Sync 3.0 27.5"" Hardtail Bike",€469.99,Save 9%,"Frame: Alloy Butted Hydroformed Tubing, Integrated Headset, Forged Dropouts",Fork: Suntour XCT-HLO Suspension,Bulk Tracked Courier Delivery:, Red
Ruption Hacker BMX Bike (2019),€280.00,No discount applied,"Frame: Ruption 1020 HI TEN with 20.5"" top tube",Forks: Ruption Tapered 1020 HI TEN,Bulk Tracked Courier Delivery:,Choice of colours
Fuji Nevada 27.5 1.5 Hardtail Bike,€531.99,Save 24%,"Frame: Fuji A2-SL custom-butted alloy front triangle w/ PowerCurve down tube, Fuji A1-SL alloy rear triangle, post disc mount, cold-forged dropout and replaceable hanger","Fork: SR Suntour SF15-XCM-HLO-DS-27.5 w/ hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:,Marine Blue
Vitus 16 Kids Bike,€223.99,No discount applied,Light weight 6061 alloy frame,Custom handlebars designed for tiny hands,Bulk Tracked Courier Delivery:,Choice of colours
Kona Big Honzo (2018) Mountain Bike,"€1,519.00",Save 20%,Frame: Kona 6061 Butted Alloy,Forks: RockShox Recon Silver RL Solo Air,Bulk Tracked Courier Delivery:,Matt Black
Blank Sabbath BMX Bike (2019),€510.00,No discount applied,"Frame: Blank Tri-Moly, removable brake hardware, ""Park"" geometry","Forks: Blank 3+, 20"", CrMo steerer, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Cinelli Superstar Ultegra Bike,"€2,180.99",Save 14%,Frame: Columbus Carbon Fibre Monocoque,"Fork: Columbus Futura, full Carbon Fibre Monocoque, 1 1/8"" to 1 1/2"" tapered steerer",Bulk Tracked Courier Delivery:, Black Tie
Fuji Addy 27.5 1.5 Hardtail Bike,€531.99,Save 24%,Frame: Fuji A2-SL,"Fork: SR Suntour SF15-XCM-HLO-DS-27.5 with hydraulic lockout, 100mm travel",Bulk Tracked Courier Delivery:,Blue
Fuji Brevet 2.3 Disc Road Bike (2018),"€1,199.98",Save 42%,Frame: C5 carbon w/ VRTech,"Forks: FC-440 carbon monocoque w/ VRTech, tapered carbon steerer, flat-mount disc system, 12mm thru-axle dropout, hidden fender eyelet",Bulk Tracked Courier Delivery:, Dark Blue
"Ghost Slamr 3.7 27.5"" Full Suspension Bike","€1,852.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Riot Red/Night Black
Ghost Nivolet 4.8 Road Bike,"€1,344.99",Save 35%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:, Shadow Grey/Smoke Gr
"Hustla 18"" BMX Bike",€197.98,Save 44%,Frame: Blank 1020 Hi-Tensile Steel,"Fork: Blank Compound, 18"", tapered",Bulk Tracked Courier Delivery:,Choice of colours
Vitus Substance V2 Gravel Bike - 105,"€1,268.99",Save 12%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:, Black - Raw
TERRA C Ultegra Racing (2019) Bike,"€2,799.99",No discount applied,Frame: Orro Terra C Carbon Frame with Innegra Impact Protection,Fork: Orro Terra C Full Carbon with Innegra Impact Protection,Bulk Tracked Courier Delivery:, Green
"Ghost Lanao R1.0 20"" Kids Bike",€283.99,Save 25%,Frame: Lanao Al Aluminium,Fork: Ghost AL 20 Rigid,Bulk Tracked Courier Delivery:,Star White/Neon Red/
"Ghost Roket 5.7+ 27.5""+ Hardtail Bike","€1,419.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Army Green/Night Bla
"GT Street Performer 29"" (2019) Bike",€499.00,No discount applied,"Frame: GT 86' Pro Performer Design, 100% Cr-Mo Tubes, DT Gusset, MID BB, Seat Stay V-Brake, Integrated 1-1/8"" H/T w/ Removable Rotor Tabs","Forks: GT 86' Pro Performer Design, 100% Cr-Mo 2pc. Steerer, 31.8 O.D. Blades, 3/8"" Axle Dropouts",Bulk Tracked Courier Delivery:,Gloss Red
Niner SIR 9 2-Star Hardtail Bike,"€2,699.00",Save 10%,Frame: Reynolds 853 Steel,"Fork: Fox 34 Float Rhythm Grip Evol, sweep adjust, 120mm, 110x15mm",Bulk Tracked Courier Delivery:, Slate Blue/Orange
Kona Process 153 AL/DL 27.5 (2018) Bike,"€2,799.00",Save 30%,Frame: Kona 6061 butted Alloy,Forks: RockShox Yari Solo Air,Bulk Tracked Courier Delivery:, Matt Olive
De Rosa King XS (Ultegra - 2018) Road Bike,"€3,880.99",Save 26%,"Frame: TI1000, TI 800 and XN10 Carbon Fibre",Fork: De Rosa King XS,Bulk Tracked Courier Delivery:, Gray
Fuji Track Comp Road Bike,€366.99,Save 29%,Frame: A2-SL custom-butted alloy,"Fork: Fuji, forged alloy, 46T",Bulk Tracked Courier Delivery:, Black/Green
TERRA Gravel 105 Racing (2019) Bike,"€1,399.99",No discount applied,Frame: Orro Terra Gravel Triple Butted Aluminium Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:,Choice of colours
Kona Wo (2017) Mountain Bike,"€1,199.00",Save 36%,Frame: Kona 7005 Alloy,Fork:  Kona Wo Fat Disc Alloy,Bulk Tracked Courier Delivery:,Gloss Green
TERRA C 105 Adventure (2019) Bike,"€2,399.99",No discount applied,Frame: Orro Terra C Carbon Frame with Innegra Impact Protection,Fork: Orro Terra C Full Carbon with Innegra Impact Protection,Bulk Tracked Courier Delivery:, Green
TERRA GRAVEL 105 Hydro (2019) Bike,"€1,699.99",No discount applied,Frame: Orro Terra Gravel Triple Butted Aluminium Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:,Choice of colours
"Fuji Tahoe 29"" 1.3 Hardtail Bike","€1,124.99",Save 25%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Double,Bulk Tracked Courier Delivery:,Green/Black
Vitus Razor VRW Road Bike,€543.99,Save 20%,Weight: 9.75kg,6061 alloy frame,Bulk Tracked Courier Delivery:, Purple - Silver
GT Avalanche Expert (2019) Bike,€899.00,No discount applied,Frame: 6061 T6 Alloy with GT Triple Triangle design,Forks: RockShox Recon RL Solo Air,Bulk Tracked Courier Delivery:,Choice of colours
GT Sensor Carbon Expert (2019) Bike,"€3,899.00",No discount applied,"Frame: All New Sensor Carbon, 130mm rear wheel travel, carbon front/alloy rear frame, Boost 148 rear spacing, ISCG05 mounts, sealed bearing LockR pivots, Metric Trunnion shock mounts, coil shock compatible","Fork:  RockShox Revelation RC, 130mm Charger Damper, DebonAir, 15x110, tapered steerer",Bulk Tracked Courier Delivery:, Wine Red
Vitus Venon CR Disc Road Bike - 105,"€1,399.99",Save 36%,Weight: 8.87kg / 19.55lbs,"Frame: Carbon T700-HM UD, 142x12mm TA",Bulk Tracked Courier Delivery:, Silver - Black
Kona Process 165 (2018) Mountain Bike,"€2,998.80",Save 33%,Frame: Kona 6061 Aluminum Butted 165mm Travel,"Forks: RockShox Yari Charger RC DebonAir, Travel: 170mm",Bulk Tracked Courier Delivery:, Matt Grey
Cube Stereo 120 Race 29 Suspension Bike,"€2,158.99",Save 13%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Blue/Green
GT GTR Elite (2019) Bike,"€1,199.00",No discount applied,"Frame:All-New GTR Alloy frame, Tapered head tube, Threaded BB, Flat mount disc","Forks: All-New GTR Full Carbon fork, 1 1/8 to 1 1/4"" tapered, flat mount disc, 12mm thru axle",Bulk Tracked Courier Delivery:, Gloss Black & Teal
Cube Attain Pro Road Bike,€899.00,No discount applied,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,White/Red
Niner AIR 9 1-Star Hardtail Bike,"€1,439.00",Save 10%,Frame: Hydroformed Aluminium,"Fork: Rockshox Reba RL Solo Air, 100mm, 110x15mm",Bulk Tracked Courier Delivery:, Black/Cyan
Cube Litening C:68 SL Road Bike (2018),"€3,654.00",Save 15%,Frame: CUBE C:68 Advanced Twin Carbon Mold,"Forks: CUBE CSL Evo C:68 Technology, 1 1/8 - 1 1/4"" Tapered",Bulk Tracked Courier Delivery:,Team Wanty
Fuji Track Road Bike,€359.99,Save 29%,"Frame: Elios 2, custom-butted CrMo","Fork: Elios 2, custom-butted CrMo",Bulk Tracked Courier Delivery:, Black/Red
Fuji Addy 27.5 1.9 Hardtail Bike,€367.99,Save 25%,Fork: SR Suntour SF14-3030 27.5 w/ 75mm travel,"Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:, Hot Coral
Cube Kid 160 Mountain Bike,€223.99,Save 19%,No Feature 1,No Feature 2,Bulk Tracked Courier Delivery:,Berry/Pink
Ghost Hybrid Kato S3.7+ Hardtail Bike,"€2,528.99",Save 30%,Frame: Hybride Kato 27.5 Alloy AL,Fork: RST Alpha 27.5+ 130mm Boost,Bulk Tracked Courier Delivery:,Night Black/Neon Red
"Ghost Lanao 1.6 26"" Ladies Hardtail Bike",€426.99,Save 26%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Star White/Lake Blue
Fuji Sportif 1.5 Disc Road Bike,€839.99,Save 30%,"Frame: A2-SL alloy tapered seatstays & chainstays with rack mount, flat mount disc & replaceable derailleur hanger","Fork: FC-440 full-carbon monocoque, quick-release axle with flat-mount disc tabs, tapered steerer",Bulk Tracked Courier Delivery:, Gray
GOLD STC Disc Ultegra Racing (2019) Bike,"€2,799.99",No discount applied,Frame: Orro Gold frame with Sigmatex Spread Tow Carbon,Fork: Orro STC Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Black/Gold
Vitus Vitesse Evo CR Disc Road Bike - Ultegra,"€2,029.99",Save 32%,Weight: 7.9kg,High Modulus T700 carbon frameset,Bulk Tracked Courier Delivery:, Blue - Black
Vitus Razor VR Road Bike,€543.99,Save 20%,Weight: 9.99kg,6061 alloy frame,Bulk Tracked Courier Delivery:, Black - Yellow
Cube Nature EXC Trapeze Touring Bike (2018),€559.00,Save 20%,Frame: Aluminium Superlite Trekking Cross Double Butted,Frame Design: Trapeze Women's model with dropped top-tube for ease of access.,Bulk Tracked Courier Delivery:, Blue
"GT Mach One 16"" (2019) Bike",€249.00,No discount applied,"Frame: GT Mach One Race Styling, Aluminium","Forks: GT BMX design, 1"" Steerer, 1"" Blades, Aluminium",Bulk Tracked Courier Delivery:,Electric Blue
"Ghost Framr 8.7 27.5"" Full Suspension Bike","€5,129.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:, Spectra Yellow/Night
Blank Buddy BMX Bike (2019),€315.00,No discount applied,Frame: Blank 1020 Hi-Tensile Steel,"Forks:  Blank Compound, 16"", tapered, 30mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Colnago CRS 105 Road Bike,"€2,020.99",Save 30%,"Frame: Carbon Monocoque, internal cable routing","Fork: Carbon Monocoque, straight blade, tapered",Bulk Tracked Courier Delivery:,Black-White
Fuji Sportif 2.3 Road Bike,€534.99,Save 29%,"Frame: A2-SL Alloy tapered seatstays & chainstays with rack mount, forged-road dropout with 1 eyelet & replaceable derailleur hanger","Fork: FC-770 Carbon integrated with 1 1/8"" Alloy steerer",Bulk Tracked Courier Delivery:, Anthracite
Kona Rove NRB (2018) Road Bike Green 58cm Stock Bike,"€1,198.80",Save 33%,"Frame: 6061 Aluminum, Butted","Forks: Kona Carbon CX Race, Disc",Bulk Tracked Courier Delivery:, Green
Cube Town Hybrid EXC 500 Easy Entry E-Bike (2018),"€2,549.00",Save 15%,"Frame: Aluminium Superlite, Trekking Premium Comfort, IC 2.0, Double Butted","Fork : SR Suntour NCX D LO Air, 50mm, Lockout",Bulk Tracked Courier Delivery:,Silver - White
"Kona Process 153 CR 27.5"" (2018) Mountain Bike","€4,078.80",Save 25%,Frame: Kona DH Carbon/6061 Alloy stays,"Forks: RockShox Lyrik Solo Air, 160mm",Bulk Tracked Courier Delivery:, Black
Subrosa Tiro BMX Bike,€431.99,No discount applied,Frame: 100% 1020 High-Ten Steel,"Forks: CrMo steerer, Offset: 30mm",Bulk Tracked Courier Delivery:,Choice of colours
Felt FR30W (2018) Road Race Bike,"€1,133.99",Save 19%,"Frame: Felt Fit Woman Road SuperLite Custom Butted 6061 aluminuim, Dynaform TIG-welded construction, BB386 bottom bracket shell, replaceable hanger","Fork: Felt Fit Woman Road, UHC Advanced carbon fibre blades and dropouts, size specific, ControlTaper aluminium steerer",Bulk Tracked Courier Delivery:,Matte Merlot/White/F
"Ghost Lector 3.9 29"" Hardtail Bike","€1,639.99",Save 30%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Night Black/Star Whi
Cube Nature Trapeze Touring Road Bike,€449.00,Save 19%,"Frame: Aluminium Superlite Trekking Cross, double butted","Fork: SR Suntour NEX, 63mm",Bulk Tracked Courier Delivery:,Iridium/Blue
"Ghost Slamr X7.9 29"" Full Suspension Bike","€4,824.99",No discount applied,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Riot Red/Night Black
Fuji Bighorn 27.5+ 1.7 Hardtail Bike (2018),€838.99,Save 30%,Frame: Fuji A6-SL super-butted alloy,"Forks: Suntour XCR 34 LO Coil, tapered steerer, Boost 110x15mm thru axle, 120mm travel",Bulk Tracked Courier Delivery:, Cool Grey
Vitus Dee 29 City Bike,€377.99,Save 10%,Frame: Al6061 alloy,Fork: Olympic Pro Steel,Bulk Tracked Courier Delivery:, Orange Tint
Fuji Track Pro INTL Road Bike (2018),€978.99,Save 30%,Frame: A6-SL super-butted 6066 aluminium w/ aero-shaped downtube,"Fork: Fuji straight-blade integrated carbon w/ 1 1/8"" alloy steerer",Bulk Tracked Courier Delivery:, Black - Red
AIRA Ultegra Racing (2019) Bike,"€2,199.99",No discount applied,Frame: Orro Aira Carbon Frame,Fork: Orro Superlight 2.0 Full Carbon,Bulk Tracked Courier Delivery:, Black/White
Cinelli Tipo Pista Bike  Purple XS Stock Bike,€752.99,Save 14%,Frame: Columbus Alloy Custom,"Fork: Columbus Carbon, Alloy 1 1/8 steerer",Bulk Tracked Courier Delivery:,Purple Rain
Kona Major Jake (2018) Road Bike,"€2,624.00",Save 25%,Carbon fiber frame,Full carbon fork,Bulk Tracked Courier Delivery:, Blue
Stolen Saint XLT BMX Bike,€567.40,No discount applied,"Frame: 100% CrMo, S-Bend chainstays for bigger tyres","Fork: 100% CrMo, tapered legs, one-piece steerer, compressor topcap, 28mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Niner AIR 9 RDO 3-Star Hardtail Bike,"€3,599.00",Save 10%,Frame: RDO Carbon Compaction,"Fork: RockShox Reba RL Solo Air, 100mm, 110x15mm",Bulk Tracked Courier Delivery:, Orange
"Kona Prcoess 153 AL/DL 29"" (2018) Mountain Bike  Black","€2,799.00",Save 30%,"Frame: 6061 Aluminum, butted","Forks: RockShox Yari Solo Air, 160mm",Bulk Tracked Courier Delivery:, Black
Ghost Hybrid Square Cross B2.9 Bike,"€2,072.99",Save 30%,Frame: Hybride Square Cross AL,"Fork: RST Nova MLO, 60mm travel",Bulk Tracked Courier Delivery:,Urban Grey/Night Bla
Kiddimoto Mountain Balance Bike,€129.99,Save 9%,"Wheel Size: 12"" (203)",No Feature 2,Bulk Tracked Courier Delivery:,Choice of colours
Fuji Gran Fondo Classico 1.3 Road Bike (2018),"€1,188.99",Save 30%,Frame: C5 carbon,Forks: FC-440 carbon w/ tapered carbon steerer & alloy dropout,Bulk Tracked Courier Delivery:, Satin Carbon - Silve
Vitus Mach 3 Urban Bike - Claris,€539.99,Save 10%,Weight: 11.8kg,Versatile flat bar road bike,Bulk Tracked Courier Delivery:, Grey - Red
Fuji Gran Fondo 2.3 Disc Road Bike (2018),"€1,468.99",Save 30%,Frame: C5 carbon w/ VRTech,"Forks: FC-440 carbon monocoque w/ VRTech, tapered carbon steerer, 12mm thru-axle dropout, hidden fender eyelet",Bulk Tracked Courier Delivery:, Gloss Blue
"Ghost Lanao 5.7 27.5"" Ladies Full Suspension Bike","€1,797.99",Save 31%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
Ghost Road Rage 4.8 City Bike,"€2,134.99",Save 30%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:, Shiny Silver/Riot Re
Fuji Touring Disc Road Bike,€839.99,Save 30%,"Frame: Custom-butted Elios 2 CrMo, rack and fender mounts, Triple bottle mount, Flat mount disc, Pump peg and Chain hanger","Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:,Anthracite
Felt AR4 (2018) Aero Road Bike,"€2,176.99",Save 19%,"Frame: Felt Aero Road UHC Performance Carbon fibre, MMC with InsideOut construction, BSA threaded shell, Carbon Fibre dropouts, replaceable hanger, internal cable routing","Fork: Felt Aero Road UHC Advanced Carbon Fibre monocoque construction, AeroTaper 1.125"" - 1.25"" Carbon Fibre steerer, integrated crown race, crown, blades and dropouts",Bulk Tracked Courier Delivery:, Matte Carbon/Acid
Fuji Norcom Straight 2.1 TT Bike (2018),"€2,473.99",Save 25%,"Frame: C5 aero carbon tubing, integrated seat clamp, integrated head tube, water bottle mount, aero stays w/ chainstay-mounted brake, vertical dropout w/ wheel-position adjustment","Fork: FC-330 carbon aero monocoque w/ 1 1/8"" carbon steerer, integrated airfoil brakes",Bulk Tracked Courier Delivery:, Satin Battleship Gre
Vitus Zenium VR Disc Road Bike - 105,€999.99,Save 23%,Weight: 9.4kg,6061 alloy frame,Bulk Tracked Courier Delivery:, Green - Black
GT Slammer (2019) Bike,€339.00,No discount applied,"Frame: GT FS Design, Hi-Ten Steel","Fork: GT FS Design, Hi-Ten Steel",Bulk Tracked Courier Delivery:,Choice of colours
Cube Access WS Mountain Bike,€359.00,Save 20%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Gray/Orange
Felt FR5 (2018) Road Race Bike,"€1,314.99",Save 20%,"Frame: Felt Race Road UHC Performance carbon fibre, MMC with InsideOut construction, carbon fibre dropouts, mechanical (external) or electronic (internal) cable routing","Fork: Felt Race Road UHC Advanced carbon fibre monocoque, ControlTaper 1.125""-1.5"" carbon fibre steer tube, integrated crown race, crown, blades and dropouts",Bulk Tracked Courier Delivery:, Matte Carbon/White/B
Fuji Nevada 27.5 1.7 Hardtail Bike,€449.99,Save 25%,"Fork: SR Suntour SF16-XCT-HLO-DS-27.5 w/ hydraulic lockout, 100mm travel","Steerer: 1 1/8"" Ahead",Bulk Tracked Courier Delivery:,Satin Charcoal
Felt F5X (2018) Cyclo Cross Bike,"€2,176.99",Save 19%,"Frame: Felt Cyclocross UHC Advanced + TeXtreme carbon fiber, MMC with InsideOut construction, BB386 bottom bracket shell, 12 x 142mm Syntace style thru axle, shoulder friendly top tube, flat mount disc, replaceable hanger, internal cable routing","Fork: Felt Cyclocross UHC Advanced + TeXtreme carbon fibre monocoque construction, ControlTaper 1.125"" - 1.5"" aluminum steerer, carbon fibre blades, flat mount disc standard, 12x100mm thru axle",Bulk Tracked Courier Delivery:, Matte TeXtreme Gloss
De Rosa King XS (Dura-Ace 9100 - 2017) Road Bike,"€4,445.98",Save 38%,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Orange
Cube  Aim Pro 27.5 Hardtail Mountain Bike,€399.00,Save 25%,Steerer: Tapered 1 1/8 - 1 1/2,Bottle Cage Mounts: Single,Bulk Tracked Courier Delivery:,Choice of colours
Stolen Casino XL BMX Bike,€374.40,No discount applied,"Frame: Hand Welded HiTen Steel, Mid BB Shell","Fork: Stolen HiTen Steel, tapered legs & one-piece steerer, compressor topcap, 32mm offset",Bulk Tracked Courier Delivery:,Choice of colours
Diablo BMX Bike,€310.99,Save 46%,"Frame: Blank full 4130 CrMo, removable brake hardware","Fork: Blank Compound 2+, tapered, CrMo steerer",Bulk Tracked Courier Delivery:,Matte Black
Vitus Vitesse Evo CRi Road Bike - Ultegra Di2,"€2,349.99",Save 32%,Weight: 7.99kg,High Modulus T700 carbon frameset,Bulk Tracked Courier Delivery:, Silver - Black
Fuji Nevada 27.5 2.0 Hardtail Bike (2018),€673.99,Save 25%,"Frame: Fuji A2-SL custom-butted alloy front triangle, Fuji A1-SL alloy rear triangle, post disc mount, coldforged dropout and replaceable hanger","Fork: SR Suntour SF15-XCM-RL-DS-27.5 w/ remote lockout, 100mm travel",Bulk Tracked Courier Delivery:,Choice of colours
"Ruption Motion BMX Bike (2019) Sand Black 20""",€295.00,No discount applied,"Frame: Ruption 1020 Hi-Ten And 4130 CrMo Downtube, 20.75"" Top Tube",Forks: Ruption Tapered 1020 Hi-Ten,Bulk Tracked Courier Delivery:,Choice of colours
Cube Attain GTC Race Disc Road Bike,"€1,999.00",No discount applied,Fork Material: Carbon,Steerer: Tapered 1 1/8 - 1 1/2,Bulk Tracked Courier Delivery:,Grey/Green
Niner SIR 9 1-Star Hardtail Bike,"€1,979.00",Save 10%,"Frame: SIR 9, Reynolds 853 Steel, 148x12mm ""Boost"" rear spacing","Fork: RockShox Judy Gold RL Solo Air, 120mm travel, 110x15mm ""Boost"" spacing",Bulk Tracked Courier Delivery:, Slate Blue/Orange
